date,expiry,strike,days_to_expiry,stock_price,call_bid,call_ask,call_mid,put_bid,put_ask,put_mid,implied_vol,open_interest,volume,risk_free_rate,moneyness,call_spread_pct,put_spread_pct
2023-12-15,2024-01-18,720,34,806.2192993164062,90.35,91.25,90.7818989751596,0.05,0.0,0.016355839790850535,0.1345148221000084,4533,247,0.068,1.119749026828342,0.9913870608129381,-305.70120910556994
2023-12-15,2024-01-18,730,34,806.2192993164062,80.45,81.3,80.878702075462,0.05,0.05,0.05001666482967426,0.1345148221000084,3876,360,0.068,1.1044099990635703,1.0509565289597766,0.0
2023-12-15,2024-01-18,740,34,806.2192993164062,70.65,71.4,71.02883164331831,0.15,0.15,0.13700395742274374,0.1345148221000084,4376,120,0.068,1.0894855396167653,1.0559092450882972,0.0
2023-12-15,2024-01-18,750,34,806.2192993164062,61.0,61.6,61.293289093100725,0.35,0.35,0.33831913194195096,0.1345148221000084,5646,507,0.068,1.0749590657552084,0.9788999886898523,0.0
2023-12-15,2024-01-18,760,34,806.2192993164062,51.5,52.05,51.77616082725706,0.75,0.75,0.7580485908347256,0.1345148221000084,5792,457,0.068,1.0608148675215872,1.0622649327650708,0.0
2023-12-15,2024-01-18,770,34,806.2192993164062,42.3,42.95,42.63244729607493,1.55,1.55,1.5511927843892437,0.1345148221000084,5887,436,0.068,1.047038051060268,1.5246603027170098,0.0
2023-12-15,2024-01-18,780,34,806.2192993164062,33.8,34.3,34.06240191152324,2.85,2.95,2.918005124574165,0.1345148221000084,5487,215,0.068,1.033614486303085,1.4678941352954062,3.4269987793319396
2023-12-15,2024-01-18,790,34,806.2192993164062,26.1,26.5,26.287391926236978,5.0,5.15,5.079852864024559,0.1345148221000084,5626,192,0.068,1.0205307586283623,1.5216420142492937,2.9528414309457283
2023-12-15,2024-01-18,800,34,806.2192993164062,19.35,19.65,19.510061263996306,8.1,8.35,8.239379926520485,0.1345148221000084,4182,181,0.068,1.0077741241455078,1.5376681597285116,3.0342089117084297
2023-12-15,2024-01-18,810,34,806.2192993164062,13.75,13.95,13.870424773329887,12.45,12.65,12.536601160590692,0.1345148221000084,5948,150,0.068,0.9953324682918596,1.4419169078697587,1.5953287293585527
2023-12-15,2024-01-18,820,34,806.2192993164062,9.25,9.55,9.41375977206718,17.9,18.15,18.01679388406461,0.1345148221000084,4191,321,0.068,0.983194267459032,3.18682447039036,1.387594272370061
2023-12-15,2024-01-18,830,34,806.2192993164062,6.0,6.15,6.082367514248006,24.45,24.8,24.622259350982063,0.1345148221000084,4438,206,0.068,0.9713485533932605,2.4661449616226556,1.4214780009050698
2023-12-15,2024-01-18,840,34,806.2192993164062,3.7,3.8,3.7332580394180184,31.95,32.45,32.21000760088873,0.1345148221000084,5554,346,0.068,0.9597848801385789,2.678625451124422,1.552312579976565
2023-12-15,2024-01-18,850,34,806.2192993164062,2.15,2.2,2.1733973037801917,40.3,40.9,40.5870045899876,0.1345148221000084,5734,362,0.068,0.9484932933134191,2.300545782082053,1.478305694301016
2023-12-15,2024-01-18,860,34,806.2192993164062,1.2,1.2,1.1989184031248072,49.2,49.9,49.54938341406887,0.1345148221000084,4399,293,0.068,0.9374643015307049,0.0,1.4127320094991136
2023-12-15,2024-01-18,870,34,806.2192993164062,0.6,0.65,0.6263326405890055,58.6,59.2,58.91365537626962,0.1345148221000084,5379,246,0.068,0.9266888497889727,7.982978494140089,1.0184396065189345
2023-12-15,2024-01-18,880,34,806.2192993164062,0.3,0.3,0.30982779854069165,68.2,68.9,68.53400825895801,0.1345148221000084,4332,230,0.068,0.9161582946777344,0.0,1.0213907194148484
2023-12-18,2024-01-18,720,31,805.8055419921875,89.5,90.4,89.96283633070811,0.05,0.0,0.011032329435300636,0.1349540015769564,5155,373,0.068,1.1191743638780383,1.0004131002401462,-453.21344230360614
2023-12-18,2024-01-18,730,31,805.8055419921875,79.65,80.45,80.04583212351088,0.05,0.05,0.03644114988967484,0.1349540015769564,5162,319,0.068,1.103843208208476,0.9994274264843617,0.0
2023-12-18,2024-01-18,740,31,805.8055419921875,69.8,70.5,70.17370944100776,0.1,0.1,0.1067314950380105,0.1349540015769564,5018,340,0.068,1.0889264080975507,0.997524579470129,0.0
2023-12-18,2024-01-18,750,31,805.8055419921875,60.1,60.7,60.40370907325075,0.25,0.3,0.2791441549325917,0.1349540015769564,4623,212,0.068,1.0744073893229167,0.9933164853707735,17.911892159115457
2023-12-18,2024-01-18,760,31,805.8055419921875,50.6,51.1,50.838708505748286,0.65,0.65,0.6565566150816977,0.1349540015769564,5817,198,0.068,1.0602704499897204,0.9835025607376818,0.0
2023-12-18,2024-01-18,770,31,805.8055419921875,41.35,41.95,41.63844946186248,1.4,1.4,1.3987105988474298,0.1349540015769564,5636,544,0.068,1.0465007038859577,1.4409758474545358,0.0
2023-12-18,2024-01-18,780,31,805.8055419921875,32.75,33.25,33.01594485663816,2.7,2.75,2.7186190212749466,0.1349540015769564,4286,278,0.068,1.0330840281951121,1.5144197816270293,1.839169063731166
2023-12-18,2024-01-18,790,31,805.8055419921875,25.0,25.4,25.211657223849215,4.8,4.95,4.856744416137616,0.1349540015769564,5843,250,0.068,1.0200070151799843,1.5865676597475498,3.088488648930998
2023-12-18,2024-01-18,800,31,805.8055419921875,18.3,18.6,18.447577187439833,7.9,8.15,8.035077407379731,0.1349540015769564,4219,284,0.068,1.0072569274902343,1.6262298130090378,3.111357704785646
2023-12-18,2024-01-18,810,31,805.8055419921875,12.8,12.95,12.875233446864627,12.3,12.5,12.405146694456164,0.1349540015769564,5110,384,0.068,0.9948216567804784,1.1650274196506047,1.6122340583798085
2023-12-18,2024-01-18,820,31,805.8055419921875,8.4,8.65,8.537865582291545,17.9,18.15,18.01019185753455,0.1349540015769564,5410,405,0.068,0.9826896853563262,2.9281323018076906,1.3881029251524197
2023-12-18,2024-01-18,830,31,805.8055419921875,5.3,5.45,5.362202395208072,24.6,24.95,24.776941698102746,0.1349540015769564,4497,140,0.068,0.970850050592997,2.7973580432929523,1.412603719476801
2023-12-18,2024-01-18,840,31,805.8055419921875,3.15,3.25,3.181870517637975,32.3,32.8,32.53902284818423,0.1349540015769564,4122,244,0.068,0.9592923118954613,3.1428054487344106,1.5366165183657363
2023-12-18,2024-01-18,850,31,805.8055419921875,1.75,1.8,1.780809251795759,40.75,41.4,41.08037460999367,0.1349540015769564,5684,157,0.068,0.9480065199908089,2.807712277414344,1.582264052290001
2023-12-18,2024-01-18,860,31,805.8055419921875,0.9,0.95,0.939007267221136,49.95,50.45,50.18098565307059,0.1349540015769564,4859,274,0.068,0.9369831883630088,5.324772421407144,0.9963933420056383
2023-12-18,2024-01-18,870,31,805.8055419921875,0.45,0.45,0.4662189391378071,59.35,59.95,59.65061035263875,0.1349540015769564,4759,294,0.068,0.9262132666576868,0.0,1.005857268606237
2023-12-18,2024-01-18,880,31,805.8055419921875,0.2,0.2,0.2179342430541027,69.0,69.7,69.34473868420673,0.1349540015769564,4799,463,0.068,0.915688115900213,0.0,1.0094493299452405
2023-12-19,2024-01-18,720,30,804.44287109375,88.05,88.9,88.46742256825723,0.05,0.0,0.011666421200201782,0.1358554419627555,4849,473,0.068,1.117281765407986,0.9608056562789418,-428.58044589659767
2023-12-19,2024-01-18,730,30,804.44287109375,78.15,78.95,78.5502309110027,0.05,0.05,0.03874024931636244,0.1358554419627555,4948,196,0.068,1.101976535744863,1.0184565859601304,0.0
2023-12-19,2024-01-18,740,30,804.44287109375,68.35,69.0,68.68106887955048,0.1,0.1,0.11384370323475324,0.1358554419627555,4922,454,0.068,1.0870849609375,0.9464034421769761,0.0
2023-12-19,2024-01-18,750,30,804.44287109375,58.65,59.2,58.92116517760701,0.3,0.3,0.2982054866621695,0.1358554419627555,5721,482,0.068,1.0725904947916667,0.9334506511236336,0.0
2023-12-19,2024-01-18,760,30,804.44287109375,49.0,49.75,49.380049313483255,0.7,0.7,0.7013551079091442,0.1358554419627555,4313,415,0.068,1.0584774619654604,1.518832019058377,0.0
2023-12-19,2024-01-18,770,30,804.44287109375,39.9,40.55,40.22643164642898,1.45,1.5,1.4920029262254673,0.1358554419627555,4215,116,0.068,1.0447310014204545,1.6158529936564758,3.3511998616847336
2023-12-19,2024-01-18,780,30,804.44287109375,31.45,31.9,31.682568684652324,2.85,2.95,2.8924054498197336,0.1358554419627555,4992,374,0.068,1.0313370142227565,1.4203393811878275,3.457329953732195
2023-12-19,2024-01-18,790,30,804.44287109375,23.8,24.15,23.994861157948094,5.05,5.25,5.148963408486111,0.1358554419627555,4869,183,0.068,1.0182821153085444,1.4586456562348697,3.8842769725334647
2023-12-19,2024-01-18,800,30,804.44287109375,17.25,17.5,17.384243877058452,8.35,8.6,8.482611612967276,0.1358554419627555,5910,506,0.068,1.0055535888671876,1.4380838290580973,2.9472055471433793
2023-12-19,2024-01-18,810,30,804.44287109375,11.9,12.1,11.992518857501068,12.95,13.15,13.035152078780527,0.1358554419627555,5390,302,0.068,0.9931393470293209,1.6677063624119592,1.5343127474943246
2023-12-19,2024-01-18,820,30,804.44287109375,7.75,7.95,7.846254671160807,18.7,18.95,18.833153377811016,0.1358554419627555,4729,124,0.068,0.981027891577744,2.548986852735069,1.3274463122811224
2023-12-19,2024-01-18,830,30,804.44287109375,4.8,4.95,4.853215887632672,25.6,26.0,25.78438007965383,0.1358554419627555,5806,471,0.068,0.9692082784262048,3.0907341332628864,1.5513268062459031
